Sep=,
iShares Ibovespa Fundo de Índice
Fund Holdings as of,"20 mai 2021"
Inception Date,"28 nov 2008"
Total Net Assets ($000s),"13.593.294.302,58"
,"115.150.000,00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"VALE3","CIA VALE DO RIO DOCE SH","12,11","111,11","14.822.782","1.646.959.308","1.646.959.308,02","Materiais","2196286","BRVALEACNOR0","XBSP","Brasil","BRL","1,00"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","6,20","29,29","28.778.757","842.929.793","842.929.792,53","Produtos financeiros","B037HR3","BRITUBACNPR1","XBSP","Brasil","BRL","1,00"
"PETR4","PETROLEO BRASILEIRO PREF SA","5,25","25,93","27.550.127","714.374.793","714.374.793,11","Energia","2684532","BRPETRACNPR6","XBSP","Brasil","BRL","1,00"
"BBDC4","BANCO BRADESCO PREF SA","4,88","25,81","25.711.220","663.606.588","663.606.588,20","Produtos financeiros","B00FM53","BRBBDCACNPR8","XBSP","Brasil","BRL","1,00"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","4,68","17,25","36.919.542","636.862.100","636.862.099,50","Produtos financeiros","BG36ZK1","BRB3SAACNOR6","XBSP","Brasil","BRL","1,00"
"PETR3","PETROBRAS","4,04","25,17","21.843.488","549.800.593","549.800.592,96","Energia","2682365","BRPETRACNOR9","XBSP","Brasil","BRL","1,00"
"ABEV3","AMBEV SA","3,39","17,54","26.295.808","461.228.472","461.228.472,32","Bens de primeira necessidade","BG7ZWY7","BRABEVACNOR1","XBSP","Brasil","BRL","1,00"
"MGLU3","MAGAZINE LUIZA SA","2,22","18,74","16.102.173","301.754.722","301.754.722,02","Consumo discricionário","B4975P9","BRMGLUACNOR2","XBSP","Brasil","BRL","1,00"
"GNDI3","NOTRE DAME INTERMEDICA PARTICIPACO","2,19","83,14","3.580.253","297.662.234","297.662.234,42","Cuidados de saúde","BF4J7K6","BRGNDIACNOR2","XBSP","Brasil","BRL","1,00"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","2,16","10,78","27.242.960","293.679.109","293.679.108,80","Produtos financeiros","2458771","BRITSAACNPR7","XBSP","Brasil","BRL","1,00"
"WEGE3","WEG SA","2,10","31,86","8.942.924","284.921.559","284.921.558,64","Bens Industriais","2945422","BRWEGEACNOR0","XBSP","Brasil","BRL","1,00"
"SUZB3","SUZANO SA","2,03","63,18","4.373.564","276.321.774","276.321.773,52","Materiais","B02GKC7","BRSUZBACNOR0","XBSP","Brasil","BRL","1,00"
"NTCO3","NATURA CO HOLDING SA","1,90","50,82","5.076.478","257.986.612","257.986.611,96","Bens de primeira necessidade","BJRFY31","BRNTCOACNOR5","XBSP","Brasil","BRL","1,00"
"BBAS3","BANCO DO BRASIL SA","1,88","33,00","7.741.688","255.475.704","255.475.704,00","Produtos financeiros","2328595","BRBBASACNOR3","XBSP","Brasil","BRL","1,00"
"JBSS3","JBS SA","1,86","30,24","8.374.172","253.234.961","253.234.961,28","Bens de primeira necessidade","B1V74X7","BRJBSSACNOR8","XBSP","Brasil","BRL","1,00"
"LREN3","LOJAS RENNER SA","1,73","44,03","5.354.137","235.742.652","235.742.652,11","Consumo discricionário","B0CGYD6","BRLRENACNOR1","XBSP","Brasil","BRL","1,00"
"RENT3","LOCALIZA RENT A CAR SA","1,65","62,47","3.582.681","223.810.082","223.810.082,07","Bens Industriais","B08K3S0","BRRENTACNOR4","XBSP","Brasil","BRL","1,00"
"GGBR4","GERDAU PREF SA","1,52","34,30","6.008.364","206.086.885","206.086.885,20","Materiais","2645517","BRGGBRACNPR8","XBSP","Brasil","BRL","1,00"
"CSNA3","COMPANHIA SIDERURGICA NACIONAL","1,35","47,20","3.875.618","182.929.170","182.929.169,60","Materiais","B019KX8","BRCSNAACNOR6","XBSP","Brasil","BRL","1,00"
"BRL","BRL CASH","1,33","100,00","180.240.840","180.240.840","180.240.839,72","Cash and/or Derivatives","-","-","-","Brasil","BRL","1,00"
"BRDT3","PETROBRAS DISTRIBUIDORA SA","1,31","25,35","7.028.309","178.167.633","178.167.633,15","Consumo discricionário","2683777","BRBRDTACNOR1","XBSP","Brasil","BRL","1,00"
"RADL3","RAIA DROGASIL SA","1,29","27,05","6.471.447","175.052.641","175.052.641,35","Bens de primeira necessidade","B7FQV64","BRRADLACNOR0","XBSP","Brasil","BRL","1,00"
"BPAC11","BCO BTG PACTUAL UNT SA","1,25","119,31","1.424.348","169.938.960","169.938.959,88","Produtos financeiros","BZBZVC7","BRBPACUNT006","XBSP","Brasil","BRL","1,00"
"BBDC3","BANCO BRADESCO SA","1,24","22,38","7.560.057","169.194.076","169.194.075,66","Produtos financeiros","B00FM86","BRBBDCACNOR1","XBSP","Brasil","BRL","1,00"
"CSAN3","COSAN INDUSTRIA E COMERCIO SA","1,16","22,36","7.054.201","157.731.934","157.731.934,36","Energia","B0P72G5","BRCSANACNOR6","XBSP","Brasil","BRL","1,00"
"EQTL3","EQUATORIAL ENERGIA SA","1,15","25,73","6.095.165","156.828.595","156.828.595,45","Serviços públicos","B128R96","BREQTLACNOR0","XBSP","Brasil","BRL","1,00"
"RAIL3","RUMO SA","1,09","20,21","7.348.886","148.520.986","148.520.986,06","Bens Industriais","BYXZ2W5","BRRAILACNOR9","XBSP","Brasil","BRL","1,00"
